collection_timestamp_utc,pollution_timestamp_utc,aqi_us,main_pollutant_us,temperature_celsius,humidity_percent,wind_speed_m_s,wind_direction_degrees,weather_icon_code,pm2_5,hour,day_of_week,month,is_weekend,aqi_lag_1h,aqi_lag_3h,aqi_lag_6h,aqi_lag_24h,pm2_5_lag_1h,pm2_5_lag_24h,temp_lag_1h,temp_lag_3h,aqi_rolling_mean_3h,aqi_rolling_mean_6h,aqi_rolling_std_6h,pm2_5_rolling_mean_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,temp_rolling_mean_6h,temp_rolling_std_6h,humidity_rolling_mean_6h,wind_rolling_mean_6h,aqi_1h_ahead,aqi_2h_ahead,aqi_3h_ahead,aqi_4h_ahead,aqi_5h_ahead
2024-12-13 14:35:00,2024-12-13 14:00:00+00:00,86,p2,17,78,3.46,292,01d,19,14,4,12,0,68,153,164,74,151,158,,,86.0,86.0,,19.0,19.0,,17.0,,78.0,3.46,131,7,135,88,112
2024-12-13 16:28:00,2024-12-13 16:00:00+00:00,89,p2,22,70,1.67,205,01d,20,16,4,12,0,187,75,142,41,32,9,17.0,,87.5,87.5,2.121,19.5,19.5,0.707,19.5,3.536,74.0,2.56,136,41,50,90,83
2024-12-13 17:36:00,2024-12-13 17:00:00+00:00,105,p2,26,60,2.91,191,10d,24,17,4,12,0,41,200,98,52,99,150,22.0,,93.33,93.33,10.214,21.0,21.0,2.646,21.67,4.509,69.33,2.68,129,193,199,60,93
2024-12-13 18:57:00,2024-12-13 18:00:00+00:00,115,p2,23,53,3.1,242,03d,26,18,4,12,0,43,11,54,10,37,156,26.0,17.0,103.0,98.75,13.672,23.33,22.25,3.304,22.0,3.742,65.25,2.78,68,0,28,172,49
2024-12-13 19:15:00,2024-12-13 19:00:00+00:00,91,p2,19,93,1.67,153,10n,20,19,4,12,0,68,9,39,143,138,134,23.0,22.0,103.67,97.2,12.337,23.33,21.8,3.033,21.4,3.507,70.8,2.56,86,177,28,72,124
2024-12-13 20:12:00,2024-12-13 20:00:00+00:00,154,p2,15,61,1.63,201,10n,34,20,4,12,0,170,93,113,128,56,16,19.0,26.0,120.0,106.67,25.68,26.67,23.83,5.672,20.33,4.082,69.17,2.41,38,49,39,73,61
2024-12-13 21:45:00,2024-12-13 21:00:00+00:00,66,p2,15,67,1.23,174,10n,15,21,4,12,0,191,56,107,142,188,60,15.0,23.0,103.67,103.33,29.857,23.0,23.17,6.524,20.0,4.472,67.33,2.04,160,111,55,40,195
2024-12-13 22:48:00,2024-12-13 22:00:00+00:00,120,p2,17,88,3.41,249,02n,27,22,4,12,0,199,89,11,142,29,88,15.0,19.0,113.33,108.5,29.562,25.33,24.33,6.47,19.17,4.491,70.33,2.32,151,117,9,35,132
2024-12-13 23:43:00,2024-12-13 23:00:00+00:00,104,p2,19,94,1.72,268,02n,23,23,4,12,0,187,136,112,75,45,67,17.0,15.0,96.67,108.33,29.588,21.67,24.17,6.494,18.0,3.033,76.0,2.13,198,144,109,99,139
2024-12-14 00:32:00,2024-12-14 00:00:00+00:00,101,p2,16,84,1.87,204,01n,23,0,5,12,1,157,70,187,110,175,103,19.0,15.0,108.33,106.0,29.509,24.33,23.67,6.439,16.83,1.835,81.17,1.92,42,79,47,17,49
2024-12-14 01:36:00,2024-12-14 01:00:00+00:00,111,p2,18,70,2.96,207,10n,25,1,5,12,1,61,11,13,138,156,193,16.0,17.0,105.33,109.33,28.591,23.67,24.5,6.189,16.67,1.633,77.33,2.14,54,180,1,103,28
2024-12-14 02:44:00,2024-12-14 02:00:00+00:00,81,p2,17,69,1.78,177,04n,18,2,5,12,1,66,94,157,153,51,126,18.0,19.0,97.67,97.17,20.034,22.0,21.83,4.491,17.0,1.414,78.67,2.16,69,195,44,113,83
2024-12-14 03:47:00,2024-12-14 03:00:00+00:00,127,p2,16,100,1.43,144,02n,28,3,5,12,1,167,79,106,130,116,127,17.0,16.0,106.33,107.33,16.158,23.67,24.0,3.578,17.17,1.169,84.17,2.19,178,26,26,101,109
2024-12-14 04:47:00,2024-12-14 04:00:00+00:00,74,p2,15,95,2.88,165,10n,17,4,5,12,1,149,106,120,114,100,127,16.0,18.0,94.0,99.67,19.511,21.0,22.33,4.179,16.83,1.472,85.33,2.11,20,5,174,98,23
